review,rating,date,bank,source,contains_emoji,emojis
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE Mobile Banking,Google Play,True,['🥇']
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE Mobile Banking,Google Play,True,"['🤬', '🤬', '🤬', '🤬', '\U0001f6dc']"
okay 👌👍,5,2025-03-24,CBE Mobile Banking,Google Play,True,"['👌', '👍']"
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE Mobile Banking,Google Play,True,"['❤', '❤', '❤', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏']"
👍,5,2025-03-30,CBE Mobile Banking,Google Play,True,['👍']
👌👍,5,2025-06-04,CBE Mobile Banking,Google Play,True,"['👌', '👍']"
Bad security 🔓,2,2025-02-28,CBE Mobile Banking,Google Play,True,['🔓']
So good 👍 👏,5,2025-02-09,CBE Mobile Banking,Google Play,True,"['👍', '👏']"
🤙best,5,2025-01-28,CBE Mobile Banking,Google Play,True,['🤙']
This app😎,5,2025-02-26,CBE Mobile Banking,Google Play,True,['😎']
👍,5,2025-03-04,CBE Mobile Banking,Google Play,True,['👍']
❤️,5,2025-02-11,CBE Mobile Banking,Google Play,True,['❤']
Very good 😊,3,2025-02-14,CBE Mobile Banking,Google Play,True,['😊']
Smart app❤️,5,2025-01-10,CBE Mobile Banking,Google Play,True,['❤']
በጣም አሪፍ መገልጊያ ነው 👍,5,2025-01-04,CBE Mobile Banking,Google Play,True,['👍']
Very Goods 👍,5,2025-01-04,CBE Mobile Banking,Google Play,True,['👍']
Wow❤🙏..,5,2025-01-22,CBE Mobile Banking,Google Play,True,"['❤', '🙏']"
👍👍,4,2025-01-01,CBE Mobile Banking,Google Play,True,"['👍', '👍']"
🙏🙏🙏,4,2025-01-03,CBE Mobile Banking,Google Play,True,"['🙏', '🙏', '🙏']"
👍👍👍👍 👍👍👍👍,3,2025-01-08,CBE Mobile Banking,Google Play,True,"['👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍']"
👍,5,2025-01-19,CBE Mobile Banking,Google Play,True,['👍']
❤❤😂😂,5,2025-01-07,CBE Mobile Banking,Google Play,True,"['❤', '❤', '😂', '😂']"
🙏🙏,5,2024-12-31,CBE Mobile Banking,Google Play,True,"['🙏', '🙏']"
😔,2,2025-01-28,CBE Mobile Banking,Google Play,True,['😔']
ተጨማሪ ፒን የጣትአሻራ መጨመሩ በጣምጥሩነው ስጠብቀው የነበረ ፊውቸርነው👍,5,2024-12-25,CBE Mobile Banking,Google Play,True,['👍']
Nice 👍 app 💯 🙏,5,2024-12-26,CBE Mobile Banking,Google Play,True,"['👍', '💯', '🙏']"
Tajaajilaa gaarii 🤩,5,2024-12-26,CBE Mobile Banking,Google Play,True,['🤩']
Etyo 👌👌👌🌍🌍,5,2024-12-19,CBE Mobile Banking,Google Play,True,"['👌', '👌', '👌', '🌍', '🌍']"
🙏,5,2025-01-01,CBE Mobile Banking,Google Play,True,['🙏']
አንዳንዴ የቀሪ ሒሳብ ዝርዝር አያሳይም ከዛ ውጪ i love it .😍. !,5,2024-05-03,CBE Mobile Banking,Google Play,True,['😍']
አረ ወጪ ገቢዬን በስርአት አሳዪኝ 🙏🙏🙏 ሂሳቦች ብሎ የሚያመጣው የተዘበራረቀ,3,2024-07-12,CBE Mobile Banking,Google Play,True,"['🙏', '🙏', '🙏']"
8838𝑒𝑎 935🄹🅄🆀😃😃😃😃፨፨፨፨ገ😃፨፧፨ቸዟዟዞ😂😂😂 😁😁🅿😀😅😁😁😁😁,2,2024-07-06,CBE Mobile Banking,Google Play,True,"['😃', '😃', '😃', '😃', '😃', '😂', '😂', '😂', '😁', '😁', '🅿', '😀', '😅', '😁', '😁', '😁', '😁']"
Very good 👍,4,2024-03-30,CBE Mobile Banking,Google Play,True,['👍']
Nice business 😜,3,2024-02-26,CBE Mobile Banking,Google Play,True,['😜']
Very good 👍,5,2024-10-05,CBE Mobile Banking,Google Play,True,['👍']
Transaction problems 😔,1,2024-09-06,CBE Mobile Banking,Google Play,True,['😔']
Wow 👌 great 👍,5,2024-09-08,CBE Mobile Banking,Google Play,True,"['👌', '👍']"
Best app 🤙,5,2024-09-22,CBE Mobile Banking,Google Play,True,['🤙']
Best app👍,5,2024-02-27,CBE Mobile Banking,Google Play,True,['👍']
Good 👍,3,2024-08-06,CBE Mobile Banking,Google Play,True,['👍']
Awesome 😎,5,2024-02-11,CBE Mobile Banking,Google Play,True,['😎']
Good 👍👍👍😊,5,2024-06-05,CBE Mobile Banking,Google Play,True,"['👍', '👍', '👍', '😊']"
💯💯💯👌👌👌👌Perfect,5,2024-12-06,CBE Mobile Banking,Google Play,True,"['💯', '💯', '💯', '👌', '👌', '👌', '👌']"
Best 👌,5,2024-04-14,CBE Mobile Banking,Google Play,True,['👌']
Good 👍,5,2024-09-17,CBE Mobile Banking,Google Play,True,['👍']
Best👌,5,2024-02-12,CBE Mobile Banking,Google Play,True,['👌']
Great 👌,5,2024-05-17,CBE Mobile Banking,Google Play,True,['👌']
very good👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,5,2024-05-21,CBE Mobile Banking,Google Play,True,"['👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾', '👍', '🏾']"
Smart 🤗🤗🤗,5,2024-06-17,CBE Mobile Banking,Google Play,True,"['🤗', '🤗', '🤗']"
👍👍👍👍best,5,2024-04-11,CBE Mobile Banking,Google Play,True,"['👍', '👍', '👍', '👍']"
So 👍😎cooling,5,2024-02-12,CBE Mobile Banking,Google Play,True,"['👍', '😎']"
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,Google Play,True,['🙏']
What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed. 👉PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.,2,2024-05-08,Bank of Abyssinia,Google Play,True,['👉']
"Be careful of using this app to transfer large sums of money. Recently I can't top up my mobile card, can't pay tickets, can't transfer money to Telebirr. The *815# works but what's the use of an app if we're using USSD. It will refund your mobile top up days after failing to top up but I wouldn't want to risk that. I'm a big fan of BoA but I wouldn't recommend this app. 👎",1,2024-05-15,Bank of Abyssinia,Google Play,True,['👎']
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,Google Play,True,['👍']
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5👍🏻",5,2024-07-09,Bank of Abyssinia,Google Play,True,"['👍', '🏻']"
No feature works correctly. Its always buffering and needs probably high data. So its useless 😏😏😏,2,2024-04-30,Bank of Abyssinia,Google Play,True,"['😏', '😏', '😏']"
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,Bank of Abyssinia,Google Play,True,"['🤮', '🤮', '🤮', '🤮']"
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia,Google Play,True,"['🤷', '♀']"
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03,Bank of Abyssinia,Google Play,True,['🙌']
This app isn't working well on Tecno phone 📱. what is the error??,1,2024-04-29,Bank of Abyssinia,Google Play,True,['📱']
Always there a problem with this app it says check your connection while connected 😞,1,2024-03-09,Bank of Abyssinia,Google Play,True,['😞']
UGH 🤮🤮🤮 they are super calculative when it CM 2 Mobile-banking or any online stuff. If ur degital!! better chose other bank.,1,2024-05-09,Bank of Abyssinia,Google Play,True,"['🤮', '🤮', '🤮']"
More interactive and easy to use mobile app👌,5,2024-02-29,Bank of Abyssinia,Google Play,True,['👌']
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,1,2024-07-13,Bank of Abyssinia,Google Play,True,"['👎', '👎', '👎']"
It's easy used to operate program and secured 👍👍,4,2024-09-25,Bank of Abyssinia,Google Play,True,"['👍', '👍']"
It is the worst app that I have ever downloaded. It crushes every time I log in 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎 👎,1,2024-02-14,Bank of Abyssinia,Google Play,True,"['👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎']"
all the time updated but im not satisfy by boa mobile bancking 😡😡😡,1,2024-05-02,Bank of Abyssinia,Google Play,True,"['😡', '😡', '😡']"
This app is going to the worest boa app ever😡 It crushes every time login.,1,2024-05-02,Bank of Abyssinia,Google Play,True,['😡']
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04,Bank of Abyssinia,Google Play,True,"['🤔', '🤔', '😡', '😡', '😡']"
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia,Google Play,True,['😡']
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30,Bank of Abyssinia,Google Play,True,"['😔', '😔']"
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11,Bank of Abyssinia,Google Play,True,"['🤮', '🤮', '🤢']"
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,Bank of Abyssinia,Google Play,True,['🙂']
The Bank I always love 😘 and work with them is priceless,5,2024-04-24,Bank of Abyssinia,Google Play,True,['😘']
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia,Google Play,True,"['😡', '😡', '😡', '😡', '😡', '😡']"
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,Bank of Abyssinia,Google Play,True,['🤣']
Mostly not working 😑,1,2024-08-14,Bank of Abyssinia,Google Play,True,['😑']
Now am confused upgrade or downgrade 🤔,1,2024-04-17,Bank of Abyssinia,Google Play,True,['🤔']
FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23,Bank of Abyssinia,Google Play,True,['👌']
It doesn't work 😔,1,2024-05-07,Bank of Abyssinia,Google Play,True,['😔']
It is Good to save time 👌👌,3,2024-05-31,Bank of Abyssinia,Google Play,True,"['👌', '👌']"
this is so disappointing app 😞,1,2024-07-31,Bank of Abyssinia,Google Play,True,['😞']
Very Very nice 👌 👍,5,2024-05-23,Bank of Abyssinia,Google Play,True,"['👌', '👍']"
The worest MB app ever!!🙄,1,2024-09-02,Bank of Abyssinia,Google Play,True,['🙄']
🤔 it stucks at 79%,1,2024-01-30,Bank of Abyssinia,Google Play,True,['🤔']
Worse mobile banking ever 👎👎,1,2024-03-29,Bank of Abyssinia,Google Play,True,"['👎', '👎']"
Yegema app tish🪨,1,2024-09-08,Bank of Abyssinia,Google Play,True,['🪨']
6r---“q##👺,2,2024-04-23,Bank of Abyssinia,Google Play,True,['👺']
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,True,['👍']
Good 👍,5,2025-01-03,Bank of Abyssinia,Google Play,True,['👍']
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of Abyssinia,Google Play,True,"['😡', '😡', '😡', '🤬', '🤬', '🤬']"
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play,True,"['🐐', '🐐']"
👍,5,2024-11-11,Bank of Abyssinia,Google Play,True,['👍']
👏👏👏,5,2024-11-24,Bank of Abyssinia,Google Play,True,"['👏', '👏', '👏']"
❤❤❤❤❤❤,5,2024-11-12,Bank of Abyssinia,Google Play,True,"['❤', '❤', '❤', '❤', '❤', '❤']"
Bad app📱👎👎👎,1,2024-08-11,Bank of Abyssinia,Google Play,True,"['📱', '👎', '👎', '👎']"
🤷🤷🤷,3,2024-07-15,Bank of Abyssinia,Google Play,True,"['🤷', '🤷', '🤷']"
😡😡😡😡😡😡😡,1,2024-07-15,Bank of Abyssinia,Google Play,True,"['😡', '😡', '😡', '😡', '😡', '😡', '😡']"
😞😞😞😞,1,2024-07-16,Bank of Abyssinia,Google Play,True,"['😞', '😞', '😞', '😞']"
👎👎👎👎👎👎👎👎👎,1,2024-08-06,Bank of Abyssinia,Google Play,True,"['👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎', '👎']"
ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,1,2024-06-20,Bank of Abyssinia,Google Play,True,"['😡', '😡', '😡']"
Good 👍,5,2024-06-07,Bank of Abyssinia,Google Play,True,['👍']
Nice 🤙,5,2024-05-15,Bank of Abyssinia,Google Play,True,['🤙']
🥰🥰🥰🥰🥰,5,2024-05-23,Bank of Abyssinia,Google Play,True,"['🥰', '🥰', '🥰', '🥰', '🥰']"
👍👍👍,5,2024-06-12,Bank of Abyssinia,Google Play,True,"['👍', '👍', '👍']"
🙏🙏🙏,5,2024-07-05,Bank of Abyssinia,Google Play,True,"['🙏', '🙏', '🙏']"
አሁን update የተደረገው App ምንም ነው የማይሰራው መከራችንን እኮ ነው ያሳየን😏😏),1,2024-05-05,Bank of Abyssinia,Google Play,True,"['😏', '😏']"
Not working 😕,1,2024-05-03,Bank of Abyssinia,Google Play,True,['😕']
👑👑,5,2024-04-29,Bank of Abyssinia,Google Play,True,"['👑', '👑']"
👎,1,2024-05-02,Bank of Abyssinia,Google Play,True,['👎']
Best application👍Thank you ! Abyssinia bank.,5,2024-01-12,Bank of Abyssinia,Google Play,True,['👍']
👍,3,2024-01-11,Bank of Abyssinia,Google Play,True,['👍']
👏👏👏,5,2024-01-16,Bank of Abyssinia,Google Play,True,"['👏', '👏', '👏']"
😏,1,2024-02-25,Bank of Abyssinia,Google Play,True,['😏']
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia,Google Play,True,"['🙏', '🙏', '🙏']"
Very bad 👎,2,2024-04-22,Bank of Abyssinia,Google Play,True,['👎']
the bank you always accepted Bank of Abyssinia worldwide cyber bank of Ethiopia ⭐️⭐️⭐️⭐️⭐️,5,2024-01-28,Bank of Abyssinia,Google Play,True,"['⭐', '⭐', '⭐', '⭐', '⭐']"
Awesome 👌,5,2024-08-12,Bank of Abyssinia,Google Play,True,['👌']
Good 👍,5,2025-01-31,Bank of Abyssinia,Google Play,True,['👍']
Good🙏,5,2025-01-12,Bank of Abyssinia,Google Play,True,['🙏']
Great 👍,5,2025-01-04,Bank of Abyssinia,Google Play,True,['👍']
👍,5,2024-01-10,Bank of Abyssinia,Google Play,True,['👍']
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of Abyssinia,Google Play,True,"['👍', '👍', '👍', '👍', '👍', '👍', '👍']"
😭😭😭😭😭😭😭,1,2024-06-05,Bank of Abyssinia,Google Play,True,"['😭', '😭', '😭', '😭', '😭', '😭', '😭']"
❤,5,2024-04-13,Bank of Abyssinia,Google Play,True,['❤']
👍,5,2024-02-11,Bank of Abyssinia,Google Play,True,['👍']
👍,5,2024-01-28,Bank of Abyssinia,Google Play,True,['👍']
🙏,5,2024-04-23,Bank of Abyssinia,Google Play,True,['🙏']
✌️✌️,5,2024-11-20,Bank of Abyssinia,Google Play,True,"['✌', '✌']"
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,Dashen Bank,Google Play,True,"['👏', '👏', '👏']"
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,Dashen Bank,Google Play,True,"['💯', '👌', '👍']"
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19,Dashen Bank,Google Play,True,['🌟']
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,Dashen Bank,Google Play,True,"['🤝', '👏']"
The app is very backward and doesn't always work. If it works three hours out of 24 hours it's great!😥,1,2025-04-14,Dashen Bank,Google Play,True,['😥']
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Dashen Bank,Google Play,True,"['✍', '✍', '✍']"
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen Bank,Google Play,True,['😍']
So far so good! their in person customer service is amazing 👏,5,2025-04-14,Dashen Bank,Google Play,True,['👏']
Applause 👏 Dashen Bank. One of the best super app inorder to pay easily and securely. One step a head.,5,2025-01-14,Dashen Bank,Google Play,True,['👏']
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10,Dashen Bank,Google Play,True,"['⭐', '⭐', '⭐', '🎉']"
"All in one, that is it 👌",5,2025-04-21,Dashen Bank,Google Play,True,['👌']
Better Move to catch the competition up👍,5,2025-01-16,Dashen Bank,Google Play,True,['👍']
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30,Dashen Bank,Google Play,True,"['👍', '👍']"
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21,Dashen Bank,Google Play,True,['🙏']
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,5,2025-04-04,Dashen Bank,Google Play,True,['🏧']
Wow Dashen Super App 🚀🚀,5,2025-01-14,Dashen Bank,Google Play,True,"['🚀', '🚀']"
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18,Dashen Bank,Google Play,True,"['❤', '😍', '💖', '💕']"
Proud to be dashen family . Shout out to the serial entrepreneur 👏,5,2025-01-16,Dashen Bank,Google Play,True,['👏']
It's Best waww 🙏,5,2025-01-13,Dashen Bank,Google Play,True,['🙏']
super 😎,5,2025-05-13,Dashen Bank,Google Play,True,['😎']
👍👍👍,5,2025-05-28,Dashen Bank,Google Play,True,"['👍', '👍', '👍']"
Is really 💀,2,2025-04-08,Dashen Bank,Google Play,True,['💀']
Wonderful Application 😍,5,2025-02-05,Dashen Bank,Google Play,True,['😍']
best 👍👍,5,2025-02-16,Dashen Bank,Google Play,True,"['👍', '👍']"
Amazing app 👏 👌 Dashen bank one step a head,5,2025-01-15,Dashen Bank,Google Play,True,"['👏', '👌']"
ስም ብቻ 😏,2,2025-01-21,Dashen Bank,Google Play,True,['😏']
First ATM in East africa ⭐️⭐️⭐️⭐️⭐️,5,2025-01-16,Dashen Bank,Google Play,True,"['⭐', '⭐', '⭐', '⭐', '⭐']"
Amizing Application 😍,5,2025-01-22,Dashen Bank,Google Play,True,['😍']
V good ❗️,5,2025-01-24,Dashen Bank,Google Play,True,['❗']
👍,5,2025-05-14,Dashen Bank,Google Play,True,['👍']
