date,bank,rating
2022-03-11,CBE Mobile Banking,3.5
2022-03-15,CBE Mobile Banking,4.0
2022-03-16,CBE Mobile Banking,3.0
2022-03-17,CBE Mobile Banking,5.0
2022-03-18,CBE Mobile Banking,3.8
2022-03-22,CBE Mobile Banking,5.0
2022-03-24,CBE Mobile Banking,3.0
2022-03-25,CBE Mobile Banking,3.6666666666666665
2022-03-27,CBE Mobile Banking,4.5
2022-03-28,CBE Mobile Banking,4.25
2022-03-29,CBE Mobile Banking,4.5
2022-03-31,CBE Mobile Banking,5.0
2022-04-01,CBE Mobile Banking,2.5
2022-04-02,CBE Mobile Banking,5.0
2022-04-03,CBE Mobile Banking,4.0
2022-04-04,CBE Mobile Banking,2.0
2022-04-05,CBE Mobile Banking,3.5
2022-04-06,CBE Mobile Banking,3.6666666666666665
2022-04-07,CBE Mobile Banking,5.0
2022-04-08,CBE Mobile Banking,4.0
2022-04-12,CBE Mobile Banking,4.5
2022-04-13,CBE Mobile Banking,4.5
2022-04-15,CBE Mobile Banking,3.0
2022-04-17,CBE Mobile Banking,4.0
2022-04-19,CBE Mobile Banking,3.5
2022-04-20,CBE Mobile Banking,4.5
2022-04-22,CBE Mobile Banking,5.0
2022-04-25,CBE Mobile Banking,4.666666666666667
2022-04-29,CBE Mobile Banking,5.0
2022-05-01,CBE Mobile Banking,1.0
2022-05-02,CBE Mobile Banking,1.0
2022-05-04,CBE Mobile Banking,3.5
2022-05-05,CBE Mobile Banking,4.0
2022-05-06,CBE Mobile Banking,3.0
2022-05-08,CBE Mobile Banking,4.5
2022-05-09,CBE Mobile Banking,3.0
2022-05-10,CBE Mobile Banking,1.0
2022-05-13,CBE Mobile Banking,4.0
2022-05-14,CBE Mobile Banking,5.0
2022-05-16,CBE Mobile Banking,5.0
2022-05-18,CBE Mobile Banking,5.0
2022-05-19,CBE Mobile Banking,5.0
2022-05-20,CBE Mobile Banking,5.0
2022-05-22,CBE Mobile Banking,3.0
2022-05-23,CBE Mobile Banking,1.6666666666666667
2022-05-25,CBE Mobile Banking,5.0
2022-05-26,CBE Mobile Banking,4.0
2022-05-27,CBE Mobile Banking,3.0
2022-05-28,CBE Mobile Banking,5.0
2022-05-29,CBE Mobile Banking,5.0
2022-05-30,CBE Mobile Banking,4.0
2022-06-01,CBE Mobile Banking,4.0
2022-06-02,CBE Mobile Banking,4.5
2022-06-03,CBE Mobile Banking,1.0
2022-06-05,CBE Mobile Banking,3.6666666666666665
2022-06-06,CBE Mobile Banking,5.0
2022-06-08,CBE Mobile Banking,4.0
2022-06-09,CBE Mobile Banking,4.5
2022-06-10,CBE Mobile Banking,5.0
2022-06-11,CBE Mobile Banking,5.0
2022-06-12,CBE Mobile Banking,2.0
2022-06-14,CBE Mobile Banking,5.0
2022-06-15,CBE Mobile Banking,5.0
2022-06-16,CBE Mobile Banking,5.0
2022-06-17,CBE Mobile Banking,4.0
2022-06-18,CBE Mobile Banking,5.0
2022-06-19,CBE Mobile Banking,5.0
2022-06-20,CBE Mobile Banking,4.333333333333333
2022-06-21,CBE Mobile Banking,2.3333333333333335
2022-06-25,CBE Mobile Banking,4.0
2022-06-26,CBE Mobile Banking,3.0
2022-06-27,CBE Mobile Banking,4.0
2022-06-28,CBE Mobile Banking,5.0
2022-06-30,CBE Mobile Banking,3.5
2022-07-01,CBE Mobile Banking,4.25
2022-07-02,CBE Mobile Banking,3.5
2022-07-03,CBE Mobile Banking,3.0
2022-07-04,CBE Mobile Banking,4.75
2022-07-05,CBE Mobile Banking,5.0
